Year,Month,Division,District,Crime Type,Reported Number,Division_legends,District_legends,,
2011,2,1,Umerkot,Murder during dacoity/robbery,0,,,,
2011,2,1,Umerkot,Highway dacoity/robbery,0,,,,
2011,2,1,Umerkot,Bank dacoity/robbery,0,,,,
2011,2,1,Umerkot,Car snatching,0,,,,
2011,2,1,Sanghar,Murder,9,,,,
2011,2,1,Sanghar,Murder in the form of target killing,0,,,,
2011,2,1,Sanghar,Murder during dacoity/robbery,1,,,,
2011,2,1,Sanghar,Highway dacoity/robbery,0,,,,
2011,2,1,Sanghar,Bank dacoity/robbery,0,,,,
2011,2,1,Sanghar,Car snatching,1,,,,
2011,2,1,Tharparkar,Murder,1,,,,
2011,2,1,Tharparkar,Murder in the form of target killing,0,,,,
2011,2,1,Tharparkar,Murder during dacoity/robbery,0,,,,
2011,2,1,Tharparkar,Highway dacoity/robbery,0,,,,
2011,2,1,Tharparkar,Bank dacoity/robbery,0,,,,
2011,2,1,Tharparkar,Car snatching,0,,,,
2011,2,6,6.1,Murder,8,,,,
2011,2,6,6.1,Murder in the form of target killing,0,,,,
2011,2,6,6.1,Murder during dacoity/robbery,0,,,,
2011,2,6,6.1,Highway dacoity/robbery,0,,,,
2011,2,6,6.1,Bank dacoity/robbery,0,,,,
2011,2,6,6.1,Car snatching,1,,,,
2011,2,6,Ghotki,Murder,7,,,,
2011,2,6,Ghotki,Murder in the form of target killing,0,,,,
2011,2,6,Ghotki,Murder during dacoity/robbery,0,,,,
2011,2,6,Ghotki,Highway dacoity/robbery,0,,,,
2011,2,6,Ghotki,Bank dacoity/robbery,0,,,,
2011,2,6,Ghotki,Car snatching,0,,,,
2011,2,6,Khairpur,Murder,16,,,,
2011,2,6,Khairpur,Murder in the form of target killing,0,,,,
2011,2,6,Khairpur,Murder during dacoity/robbery,0,,,,
2011,2,6,Khairpur,Highway dacoity/robbery,3,,,,
2011,2,6,Khairpur,Bank dacoity/robbery,0,,,,
2011,2,6,Khairpur,Car snatching,0,,,,
2011,2,6,N. Feroze,Murder,5,,,,
2011,2,6,N. Feroze,Murder in the form of target killing,0,,,,
2011,2,6,N. Feroze,Murder during dacoity/robbery,0,,,,
2011,2,6,N. Feroze,Highway dacoity/robbery,0,,,,
2011,2,6,N. Feroze,Bank dacoity/robbery,0,,,,
2011,2,6,N. Feroze,Car snatching,0,,,,
2011,2,6,Shikarpur,Murder,9,,,,
2011,2,6,Shikarpur,Murder in the form of target killing,0,,,,
