Year,Month,Division,Lat,Log,Crime Type,Reported Number,legends
2011,6,Karachi,24.8605,67.0261,4,52,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8605,67.0261,6,2,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8605,67.0261,5,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8605,67.0261,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8605,67.0261,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8605,67.0261,2,8,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8844,67.1443,4,67,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8844,67.1443,6,2,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8844,67.1443,5,5,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8844,67.1443,3,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8844,67.1443,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8844,67.1443,2,29,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8829,66.9748,4,57,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8829,66.9748,6,2,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8829,66.9748,5,3,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8829,66.9748,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8829,66.9748,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,6,Karachi,24.8829,66.9748,2,5,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8605,67.0261,4,65,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8605,67.0261,6,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8605,67.0261,5,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8605,67.0261,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8605,67.0261,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8605,67.0261,2,6,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8844,67.1443,4,79,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8844,67.1443,6,4,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8844,67.1443,5,6,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8844,67.1443,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8844,67.1443,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8844,67.1443,2,28,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8829,66.9748,4,107,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8829,66.9748,6,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8829,66.9748,5,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8829,66.9748,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8829,66.9748,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,7,Karachi,24.8829,66.9748,2,13,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8605,67.0261,4,24,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8605,67.0261,6,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
