Year,Month,Division,District,Crime Type,Reported Number,Notes
2011,October,Karachi,East Zone,Murder in the form of target killing,0,
2011,October,Karachi,East Zone,Murder during dacoity/robbery,1,
2011,October,Karachi,East Zone,Highway dacoity/robbery,0,
2011,October,Karachi,East Zone,Bank dacoity/robbery,1,
2011,October,Karachi,East Zone,Car snatching,53,
2011,October,Karachi,West Zone,Murder,27,
2011,October,Karachi,West Zone,Murder in the form of target killing,0,
2011,October,Karachi,West Zone,Murder during dacoity/robbery,3,
2011,October,Karachi,West Zone,Highway dacoity/robbery,0,
2011,October,Karachi,West Zone,Bank dacoity/robbery,0,
2011,October,Karachi,West Zone,Car snatching,1,
2011,October,Karachi,Central Zone,Murder,16,
2011,October,Karachi,Central Zone,Murder in the form of target killing,0,
2011,October,Karachi,Central Zone,Murder during dacoity/robbery,5,
2011,October,Karachi,Central Zone,Highway dacoity/robbery,0,
2011,October,Karachi,Central Zone,Bank dacoity/robbery,2,
2011,October,Karachi,Central Zone,Car snatching,7,
2011,October,Karachi,Malir,Murder,18,
2011,October,Karachi,Malir,Murder in the form of target killing,0,
2011,October,Karachi,Malir,Murder during dacoity/robbery,1,
2011,October,Karachi,Malir,Highway dacoity/robbery,4,
2011,October,Karachi,Malir,Bank dacoity/robbery,0,
2011,October,Karachi,Malir,Car snatching,5,
2011,November,Karachi,South Zone,Murder,18,
2011,November,Karachi,South Zone,Murder in the form of target killing,0,
2011,November,Karachi,South Zone,Murder during dacoity/robbery,0,
2011,November,Karachi,South Zone,Highway dacoity/robbery,0,
2011,November,Karachi,South Zone,Bank dacoity/robbery,0,
2011,November,Karachi,South Zone,Car snatching,13,
2011,November,Karachi,East Zone,Murder,18,
2011,November,Karachi,East Zone,Murder in the form of target killing,2,
2011,November,Karachi,East Zone,Murder during dacoity/robbery,6,
2011,November,Karachi,East Zone,Highway dacoity/robbery,0,
2011,November,Karachi,East Zone,Bank dacoity/robbery,2,
2011,November,Karachi,East Zone,Car snatching,31,
2011,November,Karachi,West Zone,Murder,22,
2011,November,Karachi,West Zone,Murder in the form of target killing,0,
2011,November,Karachi,West Zone,Murder during dacoity/robbery,2,
2011,November,Karachi,West Zone,Highway dacoity/robbery,0,
2011,November,Karachi,West Zone,Bank dacoity/robbery,0,
2011,November,Karachi,West Zone,Car snatching,2,
2011,November,Karachi,Central Zone,Murder,2,
2011,November,Karachi,Central Zone,Murder in the form of target killing,1,
2011,November,Karachi,Central Zone,Murder during dacoity/robbery,2,
2011,November,Karachi,Central Zone,Highway dacoity/robbery,0,
2011,November,Karachi,Central Zone,Bank dacoity/robbery,1,
2011,November,Karachi,Central Zone,Car snatching,10,
2011,November,Karachi,Malir,Murder,19,
2011,November,Karachi,Malir,Murder in the form of target killing,0,
2011,November,Karachi,Malir,Murder during dacoity/robbery,0,
2011,November,Karachi,Malir,Highway dacoity/robbery,3,
2011,November,Karachi,Malir,Bank dacoity/robbery,0,
2011,November,Karachi,Malir,Car snatching,4,
2011,December,Karachi,South Zone,Murder,18,
2011,December,Karachi,South Zone,Murder in the form of target killing,0,
2011,December,Karachi,South Zone,Murder during dacoity/robbery,5,
2011,December,Karachi,South Zone,Highway dacoity/robbery,0,
2011,December,Karachi,South Zone,Bank dacoity/robbery,0,
2011,December,Karachi,South Zone,Car snatching,7,
2011,December,Karachi,East Zone,Murder,24,
2011,December,Karachi,East Zone,Murder in the form of target killing,0,
2011,December,Karachi,East Zone,Murder during dacoity/robbery,2,
2011,December,Karachi,East Zone,Highway dacoity/robbery,0,
2011,December,Karachi,East Zone,Bank dacoity/robbery,1,
2011,December,Karachi,East Zone,Car snatching,33,
2011,December,Karachi,West Zone,Murder,25,
2011,December,Karachi,West Zone,Murder in the form of target killing,0,
2011,December,Karachi,West Zone,Murder during dacoity/robbery,2,
2011,December,Karachi,West Zone,Highway dacoity/robbery,0,
2011,December,Karachi,West Zone,Bank dacoity/robbery,0,
2011,December,Karachi,West Zone,Car snatching,3,
2011,December,Karachi,Central Zone,Murder,9,
2011,December,Karachi,Central Zone,Murder in the form of target killing,0,
2011,December,Karachi,Central Zone,Murder during dacoity/robbery,3,
2011,December,Karachi,Central Zone,Highway dacoity/robbery,0,
2011,December,Karachi,Central Zone,Bank dacoity/robbery,0,
2011,December,Karachi,Central Zone,Car snatching,10,
2011,December,Karachi,Malir,Murder,20,
2011,December,Karachi,Malir,Murder in the form of target killing,0,
2011,December,Karachi,Malir,Murder during dacoity/robbery,2,
2011,December,Karachi,Malir,Highway dacoity/robbery,4,
2011,December,Karachi,Malir,Bank dacoity/robbery,0,
2011,December,Karachi,Malir,Car snatching,4,
2012,January,Karachi,South Zone,Murder,13,
2012,January,Karachi,South Zone,Murder in the form of target killing,3,
2012,January,Karachi,South Zone,Murder during dacoity/robbery,2,
2012,January,Karachi,South Zone,Highway dacoity/robbery,0,
2012,January,Karachi,South Zone,Bank dacoity/robbery,0,
2012,January,Karachi,South Zone,Car snatching,18,
2012,January,Karachi,East Zone,Murder,28,
2012,January,Karachi,East Zone,Murder in the form of target killing,1,
2012,January,Karachi,East Zone,Murder during dacoity/robbery,0,
2012,January,Karachi,East Zone,Highway dacoity/robbery,0,
2012,January,Karachi,East Zone,Bank dacoity/robbery,1,
2012,January,Karachi,East Zone,Car snatching,41,
2012,January,Karachi,West Zone,Murder,26,
2012,January,Karachi,West Zone,Murder in the form of target killing,0,
2012,January,Karachi,West Zone,Murder during dacoity/robbery,1,
2012,January,Karachi,West Zone,Highway dacoity/robbery,0,
2012,January,Karachi,West Zone,Bank dacoity/robbery,0,
2012,January,Karachi,West Zone,Car snatching,1,
2012,January,Karachi,Central Zone,Murder,14,
2012,January,Karachi,Central Zone,Murder in the form of target killing,1,
2012,January,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,January,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,January,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,January,Karachi,Central Zone,Car snatching,9,
2012,January,Karachi,Malir,Murder,17,
2012,January,Karachi,Malir,Murder in the form of target killing,0,
2012,January,Karachi,Malir,Murder during dacoity/robbery,0,
2012,January,Karachi,Malir,Highway dacoity/robbery,8,
2012,January,Karachi,Malir,Bank dacoity/robbery,0,
2012,January,Karachi,Malir,Car snatching,3,
2012,February,Karachi,South Zone,Murder,20,
2012,February,Karachi,South Zone,Murder in the form of target killing,1,
2012,February,Karachi,South Zone,Murder during dacoity/robbery,0,
2012,February,Karachi,South Zone,Highway dacoity/robbery,0,
2012,February,Karachi,South Zone,Bank dacoity/robbery,0,
2012,February,Karachi,South Zone,Car snatching,8,
2012,February,Karachi,East Zone,Murder,22,
2012,February,Karachi,East Zone,Murder in the form of target killing,1,
2012,February,Karachi,East Zone,Murder during dacoity/robbery,1,
2012,February,Karachi,East Zone,Highway dacoity/robbery,0,
2012,February,Karachi,East Zone,Bank dacoity/robbery,1,
2012,February,Karachi,East Zone,Car snatching,33,
2012,February,Karachi,West Zone,Murder,32,
2012,February,Karachi,West Zone,Murder in the form of target killing,2,
2012,February,Karachi,West Zone,Murder during dacoity/robbery,1,
2012,February,Karachi,West Zone,Highway dacoity/robbery,0,
2012,February,Karachi,West Zone,Bank dacoity/robbery,0,
2012,February,Karachi,West Zone,Car snatching,1,
2012,February,Karachi,Central Zone,Murder,15,
2012,February,Karachi,Central Zone,Murder in the form of target killing,1,
2012,February,Karachi,Central Zone,Murder during dacoity/robbery,0,
2012,February,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,February,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,February,Karachi,Central Zone,Car snatching,5,
2012,February,Karachi,Malir,Murder,26,
2012,February,Karachi,Malir,Murder in the form of target killing,0,
2012,February,Karachi,Malir,Murder during dacoity/robbery,1,
2012,February,Karachi,Malir,Highway dacoity/robbery,5,
2012,February,Karachi,Malir,Bank dacoity/robbery,0,
2012,February,Karachi,Malir,Car snatching,1,
2012,March,Karachi,South Zone,Murder,14,
2012,March,Karachi,South Zone,Murder in the form of target killing,2,
2012,March,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,March,Karachi,South Zone,Highway dacoity/robbery,0,
2012,March,Karachi,South Zone,Bank dacoity/robbery,0,
2012,March,Karachi,South Zone,Car snatching,12,
2012,March,Karachi,East Zone,Murder,36,
2012,March,Karachi,East Zone,Murder in the form of target killing,3,
2012,March,Karachi,East Zone,Murder during dacoity/robbery,0,
2012,March,Karachi,East Zone,Highway dacoity/robbery,0,
2012,March,Karachi,East Zone,Bank dacoity/robbery,0,
2012,March,Karachi,East Zone,Car snatching,31,
2012,March,Karachi,West Zone,Murder,31,
2012,March,Karachi,West Zone,Murder in the form of target killing,3,
2012,March,Karachi,West Zone,Murder during dacoity/robbery,0,
2012,March,Karachi,West Zone,Highway dacoity/robbery,0,
2012,March,Karachi,West Zone,Bank dacoity/robbery,0,
2012,March,Karachi,West Zone,Car snatching,1,
2012,March,Karachi,Central Zone,Murder,17,
